Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
58,Cornell College,1903,1903,1,9,1,8,0,.111,0,0,0,0,,-14.48,-2.14,0,0,
59,Creighton,1927,1942,16,139,61,70,8,.468,0,0,0,0,,-6.26,-5.08,0,1,
60,Cumberland,1903,1905,2,13,7,5,1,.577,0,0,0,0,,5.07,-0.79,0,0,
61,Dartmouth,1881,1981,93,795,502,258,35,.653,0,0,0,0,,3.50,-2.81,5,12,
62,Davidson,1902,1973,66,601,248,312,40,.447,1,0,1,0,.000,-7.33,-5.96,0,1,
63,Dayton,1956,1976,21,216,78,130,8,.380,0,0,0,0,,-13.09,-8.45,0,0,
64,Del Monte Pre-Flight,1943,1943,1,8,7,1,0,.875,0,0,0,0,,12.87,-6.25,1,0,
65,Denver,1902,1960,59,520,259,228,33,.530,2,0,2,0,.000,-4.08,-4.86,0,6,
66,Detroit Mercy,1927,1964,36,338,196,132,10,.595,0,0,0,0,,0.21,-4.25,0,3,
67,Dickinson,1889,1910,18,173,84,79,10,.514,0,0,0,0,,-3.19,-3.54,0,0,
68,Drake,1900,1985,73,666,316,326,24,.492,3,2,1,0,.667,-5.60,-5.70,0,7,
69,Drury,1907,1907,1,5,1,4,0,.200,0,0,0,0,,-13.17,-3.97,0,0,
70,Duke,1922,2023,102,1094,517,548,28,.486,16,8,8,0,.500,2.62,2.69,16,17,
71,Duquesne,1933,1950,14,132,80,49,3,.617,1,1,0,0,1.000,1.04,-2.38,3,0,
72,East Carolina,1965,2023,59,677,344,330,3,.510,17,8,9,0,.471,-2.72,-2.71,2,6,record adjusted to 345-329-3 by NCAA
73,East Tennessee State,1979,1981,3,33,15,18,0,.455,0,0,0,0,,-9.46,-8.43,0,0,
74,Eastern Michigan,1975,2023,49,557,183,366,7,.335,7,2,5,0,.286,-14.05,-7.32,0,1,
75,Erskine,1919,1936,5,39,12,27,0,.308,0,0,0,0,,-13.04,-5.98,0,0,
76,Florida,1911,2023,111,1208,733,436,37,.623,48,24,24,0,.500,8.90,4.30,34,9,
77,Florida A&M,2004,2004,1,11,3,8,0,.273,0,0,0,0,,-21.65,-12.38,0,0,
78,Florida Atlantic,2004,2023,20,240,105,137,0,.434,5,4,1,0,.800,-7.66,-5.00,0,3,
79,Florida International,2004,2023,20,235,81,154,0,.345,5,2,3,0,.400,-12.54,-6.41,0,1,
80,Florida State,1954,2023,70,834,556,260,16,.678,49,29,18,2,.612,10.87,3.88,35,16,record adjusted to 545-259-16 by NCAA
81,Fordham,1909,1954,25,213,126,70,17,.631,2,1,1,0,.500,3.60,-1.08,6,0,
82,Fort Benning,1922,1922,1,10,5,5,0,.500,0,0,0,0,,-6.13,-4.03,0,0,
83,Fort Riley,1943,1943,1,9,6,2,1,.722,0,0,0,0,,10.37,1.81,0,0,
84,Fort Warren,1944,1944,1,10,5,4,1,.550,0,0,0,0,,-4.13,-3.83,0,0,
85,Franklin & Marshall,1889,1904,7,62,24,31,7,.444,0,0,0,0,,-6.27,-3.24,0,0,
86,Fresno State,1969,2023,55,670,386,273,4,.585,26,14,12,0,.538,-1.69,-5.33,4,13,record adjusted to 389-270-4 by NCAA
87,Furman,1902,1981,61,605,297,280,28,.514,0,0,0,0,,-6.16,-6.16,0,3,
88,George Washington,1908,1966,33,299,138,147,14,.485,1,1,0,0,1.000,-4.59,-4.24,1,0,
89,Georgetown,1902,1950,36,313,184,110,19,.618,2,0,2,0,.000,2.82,-2.36,1,0,
90,Georgia,1902,2023,120,1312,855,406,50,.671,62,38,21,3,.637,10.63,4.84,42,14,
91,Georgia Pre-Flight,1942,1943,2,15,12,2,1,.833,0,0,0,0,,11.14,2.27,0,0,
92,Georgia Southern,2014,2023,10,126,65,61,0,.516,6,3,3,0,.500,-3.39,-4.37,0,1,
93,Georgia State,2013,2023,11,134,51,83,0,.381,6,4,2,0,.667,-8.88,-4.19,0,0,
94,Georgia Tech,1902,2023,122,1313,750,519,40,.588,46,26,20,0,.565,8.28,4.55,24,8,record adjusted to 749-519-40 by NCAA
95,Gonzaga,1922,1941,16,141,67,63,11,.514,1,0,1,0,.000,-2.55,-4.15,0,0,
96,Grambling State,1977,1977,1,11,10,1,0,.909,0,0,0,0,,6.73,-10.00,0,1,
97,Great Lakes Navy,1918,1945,5,55,39,11,5,.755,1,1,0,0,1.000,16.37,6.95,2,0,
98,Grinnell,1899,1936,26,218,90,110,18,.454,0,0,0,0,,-6.86,-4.63,0,0,
99,Hamilton,1907,1907,1,5,1,4,0,.200,0,0,0,0,,-10.59,3.81,0,0,
100,Hampden-Sydney,1922,1940,5,44,14,29,1,.330,0,0,0,0,,-12.35,-6.01,0,0,
101,Hardin-Simmons,1939,1962,21,218,113,96,9,.539,6,4,2,0,.667,-5.41,-6.96,1,3,
102,Harvard,1875,1981,103,932,631,259,42,.700,1,1,0,0,1.000,4.22,-2.09,0,5,
103,Haskell,1902,1916,12,110,57,49,4,.536,0,0,0,0,,-1.71,-2.12,0,0,
104,Haverford,1891,1891,1,6,0,6,0,.000,0,0,0,0,,-23.89,-1.73,0,0,
105,Hawaii,1971,2023,51,626,311,309,6,.502,14,8,6,0,.571,-3.90,-3.32,2,4,
106,Holy Cross,1899,1981,53,524,264,233,27,.530,1,0,1,0,.000,-2.94,-4.32,5,0,
107,Houston,1949,2023,75,850,460,374,15,.551,30,13,16,1,.450,3.09,1.12,15,11,record adjusted to 460-374-14 by NCAA
108,Idaho,1917,2017,75,739,261,461,16,.364,3,3,0,0,1.000,-8.52,-3.61,0,1,
109,Idaho State,1944,1944,1,9,4,5,0,.444,0,0,0,0,,-11.65,-7.09,0,0,
110,Illinois,1892,2023,132,1299,622,624,49,.499,20,8,12,0,.400,5.90,5.21,13,15,
111,Illinois State,1975,1985,11,119,41,73,5,.366,0,0,0,0,,-15.36,-11.09,0,0,
112,Indiana,1899,2023,125,1217,482,690,38,.414,13,3,10,0,.231,1.98,4.58,6,2,record adjusted to 483-689-38 by NCAA
113,Indiana State,1975,1985,11,120,60,59,1,.504,0,0,0,0,,-10.06,-9.71,0,0,
