Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
246,Tennessee State,1977,1977,1,10,8,1,1,.850,0,0,0,0,,3.58,-8.72,0,0,
247,Texas,1902,2023,122,1313,897,382,32,.696,59,31,26,2,.542,11.90,4.17,51,31,record adjusted to 898-382-31 by NCAA
248,Texas A&M,1903,2023,121,1293,756,491,44,.603,43,20,23,0,.465,7.96,3.29,28,18,
249,Texas Christian,1903,2023,118,1272,664,554,50,.543,36,18,17,1,.514,2.91,1.86,21,17,record adjusted to 664-553-50 by NCAA
250,Texas Southern,1977,1977,1,11,6,4,1,.591,0,0,0,0,,-5.98,-9.98,0,0,
251,Texas State,2012,2023,12,145,48,97,0,.331,1,1,0,0,1.000,-11.39,-5.10,0,0,
252,Texas Tech,1932,2023,92,1047,566,455,24,.553,41,17,23,1,.427,4.00,2.01,11,11,
253,Texas-Arlington,1971,1981,11,120,49,71,0,.408,0,0,0,0,,-9.71,-6.19,0,1,
254,The Citadel,1909,1981,65,609,284,304,21,.484,1,1,0,0,1.000,-7.47,-6.72,0,1,
255,Toledo,1962,2023,62,715,420,285,8,.595,21,11,10,0,.524,-4.02,-7.09,4,12,record adjusted to 422-283-8 by NCAA
256,Trinity (CT),1887,1901,15,126,50,62,14,.452,0,0,0,0,,-4.52,-2.66,0,0,
257,Troy,2001,2023,23,284,159,125,0,.560,10,6,4,0,.600,-3.07,-4.94,1,8,
258,Tufts,1877,1905,17,178,70,103,5,.407,0,0,0,0,,-6.06,-2.49,0,0,
259,Tulane,1902,2023,119,1228,540,651,35,.455,16,7,9,0,.438,0.40,1.82,8,5,record adjusted to 539-652-35 by NCAA
260,Tulsa,1917,2023,92,1011,511,481,18,.515,23,11,12,0,.478,-1.48,-2.21,8,27,
261,UAB,1996,2023,26,309,140,169,0,.453,6,3,3,0,.500,-6.16,-4.28,0,2,
262,UCF,1996,2023,28,345,198,147,0,.574,15,6,9,0,.400,0.10,-3.34,5,6,
263,UCLA,1928,2023,96,1072,615,409,31,.598,38,17,20,1,.461,9.04,5.56,32,17,record adjusted to 608-416-31 by NCAA
264,Union (NY),1894,1902,3,18,3,15,0,.167,0,0,0,0,,-10.45,3.85,0,0,
265,USC,1922,2023,102,1188,791,327,40,.700,57,36,21,0,.632,13.80,6.23,51,39,record adjusted to 777-327-40 by NCAA
266,Utah,1905,2023,117,1178,688,459,30,.597,26,17,9,0,.654,2.41,-1.78,11,26,
267,Utah State,1912,2023,109,1108,538,542,28,.498,16,6,10,0,.375,-4.88,-4.82,4,13,record adjusted to 542-539-27 by NCAA
268,UTEP,1935,2023,86,945,344,581,18,.374,15,5,10,0,.333,-9.45,-5.08,0,2,
269,UTSA,2012,2023,12,149,80,69,0,.537,5,1,4,0,.200,-5.24,-5.29,0,2,
270,Vanderbilt,1902,2023,120,1241,556,642,43,.465,9,4,4,1,.500,3.34,3.55,3,0,record adjusted to 557-641-43 by NCAA
271,Vermont,1901,1905,5,48,21,22,5,.490,0,0,0,0,,-3.00,-1.06,0,0,
272,Villanova,1905,1980,59,547,270,260,17,.509,5,2,2,1,.500,-2.26,-3.09,3,0,
273,Virginia,1890,2023,120,1250,602,611,37,.496,21,8,13,0,.381,0.99,0.60,9,2,
274,Virginia Military Institute,1904,1981,70,684,306,344,34,.472,0,0,0,0,,-5.27,-4.03,1,7,
275,Virginia Tech,1902,2023,120,1270,737,488,44,.598,35,14,21,0,.400,3.16,-0.95,20,8,record adjusted to 738-487-44 by NCAA
276,Wabash,1904,1905,2,17,8,9,0,.471,0,0,0,0,,4.55,1.77,0,0,
277,Wake Forest,1908,2023,116,1194,482,681,31,.417,17,11,6,0,.647,-2.36,0.85,5,2,
278,Washburn,1905,1940,7,68,29,38,1,.434,0,0,0,0,,-11.77,-8.80,0,0,
279,Washington,1916,2023,107,1139,669,438,32,.601,41,20,20,1,.500,8.11,4.29,27,20,record adjusted to 672-435-32 by NCAA
280,Washington & Jefferson,1905,1934,30,288,196,71,21,.717,1,0,0,1,.500,4.77,-2.83,0,0,
281,Washington & Lee,1907,1953,44,390,191,174,25,.522,1,0,1,0,.000,-0.76,-1.91,1,2,
282,Washington (MO),1902,1942,40,331,147,165,19,.473,0,0,0,0,,-5.13,-4.22,0,3,
283,Washington State,1917,2023,104,1091,499,549,38,.477,17,7,10,0,.412,2.50,3.26,12,4,record adjusted to 501-547-38 by NCAA
284,Wesleyan (CT),1882,1905,24,217,92,118,7,.440,0,0,0,0,,0.49,3.84,0,0,
285,West Texas State,1941,1985,44,447,212,225,9,.485,4,4,0,0,1.000,-8.65,-8.69,0,4,
286,West Virginia,1909,2023,111,1213,693,467,41,.594,40,17,23,0,.425,3.98,0.50,20,15,
287,West Virginia Wesleyan,1913,1916,4,33,16,16,1,.500,0,0,0,0,,-1.55,-1.37,0,0,
288,Western Carolina,1977,1981,5,55,25,28,2,.473,0,0,0,0,,-8.00,-8.33,0,0,
289,Western Kentucky,2007,2023,17,217,113,104,0,.521,10,7,3,0,.700,-4.07,-5.32,1,2,
290,Western Michigan,1962,2023,62,693,358,328,7,.522,10,2,8,0,.200,-6.45,-7.21,1,3,record adjusted to 359-327-7 by NCAA
291,Western State,1924,1937,14,96,20,76,0,.208,0,0,0,0,,-20.15,-8.96,0,0,
292,Whitman,1923,1924,2,12,2,10,0,.167,0,0,0,0,,-13.95,1.72,0,0,
293,Wichita State,1945,1986,42,433,167,254,12,.400,3,0,3,0,.000,-10.37,-6.40,0,5,record adjusted to 168-253-12 by NCAA
294,William & Mary,1922,1983,55,560,260,279,20,.483,3,1,2,0,.333,-4.63,-4.51,3,4,
295,Williams,1886,1906,21,211,107,90,14,.540,0,0,0,0,,1.28,0.17,0,0,
296,Wisconsin,1892,2023,132,1310,737,513,52,.586,35,19,16,0,.543,8.27,4.77,26,14,record adjusted to 738-512-52 by NCAA
297,Wofford,1914,1936,15,128,36,88,4,.297,0,0,0,0,,-13.04,-5.23,0,0,
298,WPI,1888,1893,2,11,3,7,1,.318,0,0,0,0,,-12.11,-1.48,0,0,
299,Wyoming,1905,2023,112,1155,540,585,26,.480,19,10,9,0,.526,-4.52,-3.23,4,14,record adjusted to 541-584-26 by NCAA
300,Xavier,1935,1973,16,161,71,86,4,.453,0,0,0,0,,-11.60,-8.18,0,0,
301,Yale,1872,1981,108,973,717,203,53,.764,0,0,0,0,,7.88,-1.09,4,11,
