,"<td class=""right"" data-stat=""year_id""><a href=""/cfb/schools/akron/1975.html"">1975</a></td>","<td class=""left"" data-stat=""conf_id""><a href=""/cfb/conferences/independent/1975.html"">Ind</a></td>","<td class=""right"" data-stat=""wins"">7</td>","<td class=""right"" data-stat=""losses"">4</td>","<td class=""right iz"" data-stat=""ties"">0</td>","<td class=""right"" data-stat=""win_loss_pct"">.636</td>","<td class=""right iz"" data-stat=""wins_conf""></td>","<td class=""right iz"" data-stat=""losses_conf""></td>","<td class=""right iz"" data-stat=""ties_conf""></td>","<td class=""right iz"" data-stat=""win_loss_pct_conf""></td>","<td class=""right"" data-stat=""srs"">-7.70</td>","<td class=""right"" data-stat=""sos"">-10.24</td>","<td class=""center iz"" csk=""999.1975"" data-stat=""rank_pre""></td>","<td class=""center iz"" csk=""999.1975"" data-stat=""rank_min""></td>","<td class=""center iz"" csk=""999.1975"" data-stat=""rank_final""></td>","<td class=""center iz"" data-stat=""cfp_min""></td>","<td class=""center iz"" data-stat=""cfp_final""></td>","<td class=""left"" csk=""Dennison,Jim.1975"" data-stat=""coaches""><a href=""/cfb/coaches/jim-dennison-1.html"">Jim Dennison</a> (7-4)</td>","<td class=""left iz"" csk=""ZZZ.1975"" data-stat=""bowl_name""></td>","<td class=""left iz"" data-stat=""notes""></td>"
17,2008,MAC,5,7,0,.417,3,5,0,.375,-6.87,-4.95,,,,,,J.D. Brookhart(5-7),,
18,2007,MAC,4,8,0,.333,3,5,0,.375,-12.52,-5.27,,,,,,J.D. Brookhart(4-8),,
19,2006,MAC,5,7,0,.417,3,5,0,.375,-9.70,-6.70,,,,,,J.D. Brookhart(5-7),,
20,2005,MAC,7,6,0,.538,5,3,0,.625,-5.50,-4.96,,,,,,J.D. Brookhart(7-6),Motor City Bowl(L),
21,2004,MAC,6,5,0,.545,6,2,0,.750,-9.06,-7.16,,,,,,J.D. Brookhart(6-5),,
23,2003,MAC,7,5,0,.583,5,3,0,.625,-5.96,-8.62,,,,,,Lee Owens(7-5),,
24,2002,MAC,4,8,0,.333,3,5,0,.375,-9.42,-4.92,,,,,,Lee Owens(4-8),,
25,2001,MAC,4,7,0,.364,4,4,0,.500,-9.08,-3.62,,,,,,Lee Owens(4-7),,
26,2000,MAC,6,5,0,.545,5,3,0,.625,-5.38,-7.65,,,,,,Lee Owens(6-5),,
27,1999,MAC,7,4,0,.636,5,3,0,.625,-7.63,-9.63,,,,,,Lee Owens(7-4),,
28,1998,MAC,4,7,0,.364,3,6,0,.333,-13.41,-10.50,,,,,,Lee Owens(4-7),,
29,1997,MAC,2,9,0,.182,2,7,0,.222,-13.11,-0.29,,,,,,Lee Owens(2-9),,
30,1996,MAC,4,7,0,.364,3,5,0,.375,-16.69,-10.60,,,,,,Lee Owens(4-7),,
31,1995,MAC,2,9,0,.182,2,6,0,.250,-18.58,-4.67,,,,,,Lee Owens(2-9),,
32,1994,MAC,1,10,0,.091,1,8,0,.111,-31.17,-13.71,,,,,,Gerry Faust(1-10),,
33,1993,MAC,5,6,0,.455,4,4,0,.500,-16.66,-14.57,,,,,,Gerry Faust(5-6),,
34,1992,MAC,7,3,1,.682,5,3,0,.625,-7.97,-11.51,,,,,,Gerry Faust(7-3-1),,
35,1991,Ind,5,6,0,.455,,,,,-13.90,-9.27,,,,,,Gerry Faust(5-6),,
36,1990,Ind,3,7,1,.318,,,,,-11.15,-9.15,,,,,,Gerry Faust(3-7-1),,
37,1989,Ind,6,4,1,.591,,,,,-6.72,-10.18,,,,,,Gerry Faust(6-4-1),,
38,1988,Ind,5,6,0,.455,,,,,-9.97,-9.70,,,,,,Gerry Faust(5-6),,
39,1987,Ind,4,7,0,.364,,,,,-17.13,-11.03,,,,,,Gerry Faust(4-7),,
40,1975,Ind,7,4,0,.636,,,,,-7.70,-10.24,,,,,,Jim Dennison(7-4),,
