season,match_week,team_id,team_name,position,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,home_played,home_won,home_drawn,home_lost,home_goals_for,home_goals_against,home_goal_difference,home_points,away_played,away_won,away_drawn,away_lost,away_goals_for,away_goals_against,away_goal_difference,away_points,annotation_types,annotation_destinations,stadium_name,stadium_city
2017/18,2,7,Everton,8,2,1,1,0,2,1,1,4,1,1,0,0,1,0,1,3,1,0,1,0,1,1,0,1,,,Goodison Park,Liverpool
2017/18,2,26,Leicester City,9,2,1,0,1,5,4,1,3,1,1,0,0,2,0,2,3,1,0,0,1,3,4,-1,0,,,King Power Stadium,Leicester
2017/18,2,21,Tottenham Hotspur,10,2,1,0,1,3,2,1,3,1,0,0,1,1,2,-1,0,1,1,0,0,2,0,2,3,,,Wembley Stadium,London
2017/18,2,1,Arsenal,11,2,1,0,1,4,4,0,3,1,1,0,0,4,3,1,3,1,0,0,1,0,1,-1,0,,,Emirates Stadium,London
2017/18,2,4,Chelsea,12,2,1,0,1,4,4,0,3,1,0,0,1,2,3,-1,0,1,1,0,0,2,1,1,3,,,Stamford Bridge,London
2017/18,2,43,Burnley,13,2,1,0,1,3,3,0,3,1,0,0,1,0,1,-1,0,1,1,0,0,3,2,1,3,,,Turf Moor,Burnley
2017/18,2,42,Stoke City,14,2,1,0,1,1,1,0,3,1,1,0,0,1,0,1,3,1,0,0,1,0,1,-1,0,,,Britannia Stadium,Stoke
2017/18,2,45,Swansea City,15,2,0,1,1,0,4,-4,1,1,0,0,1,0,4,-4,0,1,0,1,0,0,0,0,1,,,Liberty Stadium,Swansea
2017/18,2,127,Bournemouth,16,2,0,0,2,0,3,-3,0,1,0,0,1,0,2,-2,0,1,0,0,1,0,1,-1,0,,,Vitality Stadium,Bournemouth
2017/18,2,23,Newcastle United,17,2,0,0,2,0,3,-3,0,1,0,0,1,0,2,-2,0,1,0,0,1,0,1,-1,0,,,St. James' Park,Newcastle
2017/18,2,131,Brighton & Hove Albion,18,2,0,0,2,0,4,-4,0,1,0,0,1,0,2,-2,0,1,0,0,1,0,2,-2,0,R,EN_CH,AMEX Stadium,Falmer
2017/18,2,6,Crystal Palace,19,2,0,0,2,0,4,-4,0,1,0,0,1,0,3,-3,0,1,0,0,1,0,1,-1,0,R,EN_CH,Selhurst Park,London
2017/18,2,25,West Ham United,20,2,0,0,2,2,7,-5,0,0,0,0,0,0,0,0,0,2,0,0,2,2,7,-5,0,R,EN_CH,London Stadium,London
2017/18,3,12,Manchester United,1,3,3,0,0,10,0,10,9,2,2,0,0,6,0,6,6,1,1,0,0,4,0,4,3,Q,EU_CL,Old Trafford,Manchester
2017/18,3,10,Liverpool,2,3,2,1,0,8,3,5,7,2,2,0,0,5,0,5,6,1,0,1,0,3,3,0,1,Q,EU_CL,Anfield,Liverpool
2017/18,3,159,Huddersfield Town,3,3,2,1,0,4,0,4,7,2,1,1,0,1,0,1,4,1,1,0,0,3,0,3,3,Q,EU_CL,John Smith's Stadium,Huddersfield
2017/18,3,11,Manchester City,4,3,2,1,0,5,2,3,7,1,0,1,0,1,1,0,1,2,2,0,0,4,1,3,6,Q,EU_CL,Etihad Stadium,Manchester
2017/18,3,36,West Bromwich Albion,5,3,2,1,0,3,1,2,7,2,1,1,0,2,1,1,4,1,1,0,0,1,0,1,3,Q,EU_EL,The Hawthorns,West Bromwich
2017/18,3,4,Chelsea,6,3,2,0,1,6,4,2,6,2,1,0,1,4,3,1,3,1,1,0,0,2,1,1,3,,,Stamford Bridge,London
2017/18,3,33,Watford,7,3,1,2,0,5,3,2,5,2,0,2,0,3,3,0,2,1,1,0,0,2,0,2,3,,,Vicarage Road,Watford
2017/18,3,20,Southampton,8,3,1,2,0,3,2,1,5,2,1,1,0,3,2,1,4,1,0,1,0,0,0,0,1,,,St. Mary's Stadium,Southampton
2017/18,3,21,Tottenham Hotspur,9,3,1,1,1,4,3,1,4,2,0,1,1,2,3,-1,1,1,1,0,0,2,0,2,3,,,Wembley Stadium,London
2017/18,3,43,Burnley,10,3,1,1,1,4,4,0,4,1,0,0,1,0,1,-1,0,2,1,1,0,4,3,1,4,,,Turf Moor,Burnley
2017/18,3,42,Stoke City,11,3,1,1,1,2,2,0,4,1,1,0,0,1,0,1,3,2,0,1,1,1,2,-1,1,,,Britannia Stadium,Stoke
2017/18,3,7,Everton,12,3,1,1,1,2,3,-1,4,1,1,0,0,1,0,1,3,2,0,1,1,1,3,-2,1,,,Goodison Park,Liverpool
2017/18,3,45,Swansea City,13,3,1,1,1,2,4,-2,4,1,0,0,1,0,4,-4,0,2,1,1,0,2,0,2,4,,,Liberty Stadium,Swansea
2017/18,3,23,Newcastle United,14,3,1,0,2,3,3,0,3,2,1,0,1,3,2,1,3,1,0,0,1,0,1,-1,0,,,St. James' Park,Newcastle
2017/18,3,26,Leicester City,15,3,1,0,2,5,6,-1,3,1,1,0,0,2,0,2,3,2,0,0,2,3,6,-3,0,,,King Power Stadium,Leicester
2017/18,3,1,Arsenal,16,3,1,0,2,4,8,-4,3,1,1,0,0,4,3,1,3,2,0,0,2,0,5,-5,0,,,Emirates Stadium,London
2017/18,3,131,Brighton & Hove Albion,17,3,0,1,2,0,4,-4,1,1,0,0,1,0,2,-2,0,2,0,1,1,0,2,-2,1,,,AMEX Stadium,Falmer
2017/18,3,127,Bournemouth,18,3,0,0,3,1,5,-4,0,2,0,0,2,1,4,-3,0,1,0,0,1,0,1,-1,0,R,EN_CH,Vitality Stadium,Bournemouth
2017/18,3,6,Crystal Palace,19,3,0,0,3,0,6,-6,0,2,0,0,2,0,5,-5,0,1,0,0,1,0,1,-1,0,R,EN_CH,Selhurst Park,London
2017/18,3,25,West Ham United,20,3,0,0,3,2,10,-8,0,0,0,0,0,0,0,0,0,3,0,0,3,2,10,-8,0,R,EN_CH,London Stadium,London
2017/18,4,12,Manchester United,1,4,3,1,0,12,2,10,10,2,2,0,0,6,0,6,6,2,1,1,0,6,2,4,4,Q,EU_CL,Old Trafford,Manchester
2017/18,4,11,Manchester City,2,4,3,1,0,10,2,8,10,2,1,1,0,6,1,5,4,2,2,0,0,4,1,3,6,Q,EU_CL,Etihad Stadium,Manchester
2017/18,4,4,Chelsea,3,4,3,0,1,8,5,3,9,2,1,0,1,4,3,1,3,2,2,0,0,4,2,2,6,Q,EU_CL,Stamford Bridge,London
2017/18,4,33,Watford,4,4,2,2,0,7,3,4,8,2,0,2,0,3,3,0,2,2,2,0,0,4,0,4,6,Q,EU_CL,Vicarage Road,Watford
2017/18,4,21,Tottenham Hotspur,5,4,2,1,1,7,3,4,7,2,0,1,1,2,3,-1,1,2,2,0,0,5,0,5,6,Q,EU_EL,Wembley Stadium,London
2017/18,4,159,Huddersfield Town,6,4,2,1,1,4,2,2,7,2,1,1,0,1,0,1,4,2,1,0,1,3,2,1,3,,,John Smith's Stadium,Huddersfield
2017/18,4,43,Burnley,7,4,2,1,1,5,4,1,7,2,1,0,1,1,1,0,3,2,1,1,0,4,3,1,4,,,Turf Moor,Burnley
2017/18,4,10,Liverpool,8,4,2,1,1,8,8,0,7,2,2,0,0,5,0,5,6,2,0,1,1,3,8,-5,1,,,Anfield,Liverpool
2017/18,4,36,West Bromwich Albion,9,4,2,1,1,4,4,0,7,2,1,1,0,2,1,1,4,2,1,0,1,2,3,-1,3,,,The Hawthorns,West Bromwich
2017/18,4,23,Newcastle United,10,4,2,0,2,4,3,1,6,2,1,0,1,3,2,1,3,2,1,0,1,1,1,0,3,,,St. James' Park,Newcastle
2017/18,4,1,Arsenal,11,4,2,0,2,7,8,-1,6,2,2,0,0,7,3,4,6,2,0,0,2,0,5,-5,0,,,Emirates Stadium,London
2017/18,4,42,Stoke City,12,4,1,2,1,4,4,0,5,2,1,1,0,3,2,1,4,2,0,1,1,1,2,-1,1,,,Britannia Stadium,Stoke
2017/18,4,20,Southampton,13,4,1,2,1,3,4,-1,5,3,1,1,1,3,4,-1,4,1,0,1,0,0,0,0,1,,,St. Mary's Stadium,Southampton
2017/18,4,131,Brighton & Hove Albion,14,4,1,1,2,3,5,-2,4,2,1,0,1,3,3,0,3,2,0,1,1,0,2,-2,1,,,AMEX Stadium,Falmer
2017/18,4,45,Swansea City,15,4,1,1,2,2,5,-3,4,2,0,0,2,0,5,-5,0,2,1,1,0,2,0,2,4,,,Liberty Stadium,Swansea
2017/18,4,7,Everton,16,4,1,1,2,2,6,-4,4,2,1,0,1,1,3,-2,3,2,0,1,1,1,3,-2,1,,,Goodison Park,Liverpool
2017/18,4,26,Leicester City,17,4,1,0,3,6,8,-2,3,2,1,0,1,3,2,1,3,2,0,0,2,3,6,-3,0,,,King Power Stadium,Leicester
2017/18,4,25,West Ham United,18,4,1,0,3,4,10,-6,3,1,1,0,0,2,0,2,3,3,0,0,3,2,10,-8,0,R,EN_CH,London Stadium,London
2017/18,4,127,Bournemouth,19,4,0,0,4,1,8,-7,0,2,0,0,2,1,4,-3,0,2,0,0,2,0,4,-4,0,R,EN_CH,Vitality Stadium,Bournemouth
2017/18,4,6,Crystal Palace,20,4,0,0,4,0,7,-7,0,2,0,0,2,0,5,-5,0,2,0,0,2,0,2,-2,0,R,EN_CH,Selhurst Park,London
2017/18,5,11,Manchester City,1,5,4,1,0,16,2,14,13,2,1,1,0,6,1,5,4,3,3,0,0,10,1,9,9,Q,EU_CL,Etihad Stadium,Manchester
2017/18,5,12,Manchester United,2,5,4,1,0,16,2,14,13,3,3,0,0,10,0,10,9,2,1,1,0,6,2,4,4,Q,EU_CL,Old Trafford,Manchester
2017/18,5,4,Chelsea,3,5,3,1,1,8,5,3,10,3,1,1,1,4,3,1,4,2,2,0,0,4,2,2,6,Q,EU_CL,Stamford Bridge,London
2017/18,5,23,Newcastle United,4,5,3,0,2,6,4,2,9,3,2,0,1,5,3,2,6,2,1,0,1,1,1,0,3,Q,EU_CL,St. James' Park,Newcastle
2017/18,5,21,Tottenham Hotspur,5,5,2,2,1,7,3,4,8,3,0,2,1,2,3,-1,2,2,2,0,0,5,0,5,6,Q,EU_EL,Wembley Stadium,London
2017/18,5,159,Huddersfield Town,6,5,2,2,1,5,3,2,8,3,1,2,0,2,1,1,5,2,1,0,1,3,2,1,3,,,John Smith's Stadium,Huddersfield
2017/18,5,43,Burnley,7,5,2,2,1,6,5,1,8,2,1,0,1,1,1,0,3,3,1,2,0,5,4,1,5,,,Turf Moor,Burnley
2017/18,5,10,Liverpool,8,5,2,2,1,9,9,0,8,3,2,1,0,6,1,5,7,2,0,1,1,3,8,-5,1,,,Anfield,Liverpool
2017/18,5,20,Southampton,9,5,2,2,1,4,4,0,8,3,1,1,1,3,4,-1,4,2,1,1,0,1,0,1,4,,,St. Mary's Stadium,Southampton
2017/18,5,36,West Bromwich Albion,10,5,2,2,1,4,4,0,8,3,1,2,0,2,1,1,5,2,1,0,1,2,3,-1,3,,,The Hawthorns,West Bromwich
2017/18,5,33,Watford,11,5,2,2,1,7,9,-2,8,3,0,2,1,3,9,-6,2,2,2,0,0,4,0,4,6,,,Vicarage Road,Watford
2017/18,5,1,Arsenal,12,5,2,1,2,7,8,-1,7,2,2,0,0,7,3,4,6,3,0,1,2,0,5,-5,1,,,Emirates Stadium,London
2017/18,5,42,Stoke City,13,5,1,2,2,5,6,-1,5,2,1,1,0,3,2,1,4,3,0,1,2,2,4,-2,1,,,Britannia Stadium,Stoke
2017/18,5,45,Swansea City,14,5,1,2,2,2,5,-3,5,2,0,0,2,0,5,-5,0,3,1,2,0,2,0,2,5,,,Liberty Stadium,Swansea
2017/18,5,26,Leicester City,15,5,1,1,3,7,9,-2,4,2,1,0,1,3,2,1,3,3,0,1,2,4,7,-3,1,,,King Power Stadium,Leicester
2017/18,5,131,Brighton & Hove Albion,16,5,1,1,3,4,7,-3,4,2,1,0,1,3,3,0,3,3,0,1,2,1,4,-3,1,,,AMEX Stadium,Falmer
2017/18,5,25,West Ham United,17,5,1,1,3,4,10,-6,4,1,1,0,0,2,0,2,3,4,0,1,3,2,10,-8,1,,,London Stadium,London
2017/18,5,7,Everton,18,5,1,1,3,2,10,-8,4,2,1,0,1,1,3,-2,3,3,0,1,2,1,7,-6,1,R,EN_CH,Goodison Park,Liverpool
2017/18,5,127,Bournemouth,19,5,1,0,4,3,9,-6,3,3,1,0,2,3,5,-2,3,2,0,0,2,0,4,-4,0,R,EN_CH,Vitality Stadium,Bournemouth
2017/18,5,6,Crystal Palace,20,5,0,0,5,0,8,-8,0,3,0,0,3,0,6,-6,0,2,0,0,2,0,2,-2,0,R,EN_CH,Selhurst Park,London
2017/18,6,11,Manchester City,1,6,5,1,0,21,2,19,16,3,2,1,0,11,1,10,7,3,3,0,0,10,1,9,9,Q,EU_CL,Etihad Stadium,Manchester
2017/18,6,12,Manchester United,2,6,5,1,0,17,2,15,16,3,3,0,0,10,0,10,9,3,2,1,0,7,2,5,7,Q,EU_CL,Old Trafford,Manchester
2017/18,6,4,Chelsea,3,6,4,1,1,12,5,7,13,3,1,1,1,4,3,1,4,3,3,0,0,8,2,6,9,Q,EU_CL,Stamford Bridge,London
2017/18,6,21,Tottenham Hotspur,4,6,3,2,1,10,5,5,11,3,0,2,1,2,3,-1,2,3,3,0,0,8,2,6,9,Q,EU_CL,Wembley Stadium,London
2017/18,6,10,Liverpool,5,6,3,2,1,12,11,1,11,3,2,1,0,6,1,5,7,3,1,1,1,6,10,-4,4,Q,EU_EL,Anfield,Liverpool
2017/18,6,33,Watford,6,6,3,2,1,9,10,-1,11,3,0,2,1,3,9,-6,2,3,3,0,0,6,1,5,9,,,Vicarage Road,Watford
2017/18,6,1,Arsenal,7,6,3,1,2,9,8,1,10,3,3,0,0,9,3,6,9,3,0,1,2,0,5,-5,1,,,Emirates Stadium,London
2017/18,6,159,Huddersfield Town,8,6,2,3,1,5,3,2,9,3,1,2,0,2,1,1,5,3,1,1,1,3,2,1,4,,,John Smith's Stadium,Huddersfield
2017/18,6,43,Burnley,9,6,2,3,1,6,5,1,9,3,1,1,1,1,1,0,4,3,1,2,0,5,4,1,5,,,Turf Moor,Burnley
2017/18,6,23,Newcastle United,10,6,3,0,3,6,5,1,9,3,2,0,1,5,3,2,6,3,1,0,2,1,2,-1,3,,,St. James' Park,Newcastle
2017/18,6,20,Southampton,11,6,2,2,2,4,5,-1,8,4,1,1,2,3,5,-2,4,2,1,1,0,1,0,1,4,,,St. Mary's Stadium,Southampton
2017/18,6,36,West Bromwich Albion,12,6,2,2,2,4,6,-2,8,3,1,2,0,2,1,1,5,3,1,0,2,2,5,-3,3,,,The Hawthorns,West Bromwich
2017/18,6,131,Brighton & Hove Albion,13,6,2,1,3,5,7,-2,7,3,2,0,1,4,3,1,6,3,0,1,2,1,4,-3,1,,,AMEX Stadium,Falmer
2017/18,6,7,Everton,14,6,2,1,3,4,11,-7,7,3,2,0,1,3,4,-1,6,3,0,1,2,1,7,-6,1,,,Goodison Park,Liverpool
2017/18,6,45,Swansea City,15,6,1,2,3,3,7,-4,5,3,0,0,3,1,7,-6,0,3,1,2,0,2,0,2,5,,,Liberty Stadium,Swansea
2017/18,6,42,Stoke City,16,6,1,2,3,5,10,-5,5,3,1,1,1,3,6,-3,4,3,0,1,2,2,4,-2,1,,,Britannia Stadium,Stoke
2017/18,6,26,Leicester City,17,6,1,1,4,9,12,-3,4,3,1,0,2,5,5,0,3,3,0,1,2,4,7,-3,1,,,King Power Stadium,Leicester
2017/18,6,25,West Ham United,18,6,1,1,4,6,13,-7,4,2,1,0,1,4,3,1,3,4,0,1,3,2,10,-8,1,R,EN_CH,London Stadium,London
2017/18,6,127,Bournemouth,19,6,1,0,5,4,11,-7,3,3,1,0,2,3,5,-2,3,3,0,0,3,1,6,-5,0,R,EN_CH,Vitality Stadium,Bournemouth
2017/18,6,6,Crystal Palace,20,6,0,0,6,0,13,-13,0,3,0,0,3,0,6,-6,0,3,0,0,3,0,7,-7,0,R,EN_CH,Selhurst Park,London
2017/18,7,11,Manchester City,1,7,6,1,0,22,2,20,19,3,2,1,0,11,1,10,7,4,4,0,0,11,1,10,12,Q,EU_CL,Etihad Stadium,Manchester
2017/18,7,12,Manchester United,2,7,6,1,0,21,2,19,19,4,4,0,0,14,0,14,12,3,2,1,0,7,2,5,7,Q,EU_CL,Old Trafford,Manchester
2017/18,7,21,Tottenham Hotspur,3,7,4,2,1,14,5,9,14,3,0,2,1,2,3,-1,2,4,4,0,0,12,2,10,12,Q,EU_CL,Wembley Stadium,London
2017/18,7,4,Chelsea,4,7,4,1,2,12,6,6,13,4,1,1,2,4,4,0,4,3,3,0,0,8,2,6,9,Q,EU_CL,Stamford Bridge,London
2017/18,7,1,Arsenal,5,7,4,1,2,11,8,3,13,4,4,0,0,11,3,8,12,3,0,1,2,0,5,-5,1,Q,EU_EL,Emirates Stadium,London
2017/18,7,43,Burnley,6,7,3,3,1,7,5,2,12,3,1,1,1,1,1,0,4,4,2,2,0,6,4,2,8,,,Turf Moor,Burnley
2017/18,7,10,Liverpool,7,7,3,3,1,13,12,1,12,3,2,1,0,6,1,5,7,4,1,2,1,7,11,-4,5,,,Anfield,Liverpool
2017/18,7,33,Watford,8,7,3,3,1,11,12,-1,12,3,0,2,1,3,9,-6,2,4,3,1,0,8,3,5,10,,,Vicarage Road,Watford
2017/18,7,23,Newcastle United,9,7,3,1,3,7,6,1,10,4,2,1,1,6,4,2,7,3,1,0,2,1,2,-1,3,,,St. James' Park,Newcastle
2017/18,7,36,West Bromwich Albion,10,7,2,3,2,6,8,-2,9,4,1,3,0,4,3,1,6,3,1,0,2,2,5,-3,3,,,The Hawthorns,West Bromwich
2017/18,7,159,Huddersfield Town,11,7,2,3,2,5,7,-2,9,4,1,2,1,2,5,-3,5,3,1,1,1,3,2,1,4,,,John Smith's Stadium,Huddersfield
2017/18,7,20,Southampton,12,7,2,2,3,5,7,-2,8,4,1,1,2,3,5,-2,4,3,1,1,1,2,2,0,4,,,St. Mary's Stadium,Southampton
2017/18,7,42,Stoke City,13,7,2,2,3,7,11,-4,8,4,2,1,1,5,7,-2,7,3,0,1,2,2,4,-2,1,,,Britannia Stadium,Stoke
2017/18,7,131,Brighton & Hove Albion,14,7,2,1,4,5,9,-4,7,3,2,0,1,4,3,1,6,4,0,1,3,1,6,-5,1,,,AMEX Stadium,Falmer
2017/18,7,25,West Ham United,15,7,2,1,4,7,13,-6,7,3,2,0,1,5,3,2,6,4,0,1,3,2,10,-8,1,,,London Stadium,London
2017/18,7,7,Everton,16,7,2,1,4,4,12,-8,7,4,2,0,2,3,5,-2,6,3,0,1,2,1,7,-6,1,,,Goodison Park,Liverpool
2017/18,7,26,Leicester City,17,7,1,2,4,9,12,-3,5,3,1,0,2,5,5,0,3,4,0,2,2,4,7,-3,2,,,King Power Stadium,Leicester
2017/18,7,45,Swansea City,18,7,1,2,4,3,8,-5,5,3,0,0,3,1,7,-6,0,4,1,2,1,2,1,1,5,R,EN_CH,Liberty Stadium,Swansea
2017/18,7,127,Bournemouth,19,7,1,1,5,4,11,-7,4,4,1,1,2,3,5,-2,4,3,0,0,3,1,6,-5,0,R,EN_CH,Vitality Stadium,Bournemouth
2017/18,7,6,Crystal Palace,20,7,0,0,7,0,17,-17,0,3,0,0,3,0,6,-6,0,4,0,0,4,0,11,-11,0,R,EN_CH,Selhurst Park,London
2017/18,8,11,Manchester City,1,8,7,1,0,29,4,25,22,4,3,1,0,18,3,15,10,4,4,0,0,11,1,10,12,Q,EU_CL,Etihad Stadium,Manchester
2017/18,8,12,Manchester United,2,8,6,2,0,21,2,19,20,4,4,0,0,14,0,14,12,4,2,2,0,7,2,5,8,Q,EU_CL,Old Trafford,Manchester
2017/18,8,21,Tottenham Hotspur,3,8,5,2,1,15,5,10,17,4,1,2,1,3,3,0,5,4,4,0,0,12,2,10,12,Q,EU_CL,Wembley Stadium,London
2017/18,8,33,Watford,4,8,4,3,1,13,13,0,15,4,1,2,1,5,10,-5,5,4,3,1,0,8,3,5,10,Q,EU_CL,Vicarage Road,Watford
2017/18,8,4,Chelsea,5,8,4,1,3,13,8,5,13,4,1,1,2,4,4,0,4,4,3,0,1,9,4,5,9,Q,EU_EL,Stamford Bridge,London
2017/18,8,1,Arsenal,6,8,4,1,3,12,10,2,13,4,4,0,0,11,3,8,12,4,0,1,3,1,7,-6,1,,,Emirates Stadium,London
2017/18,8,43,Burnley,7,8,3,4,1,8,6,2,13,4,1,2,1,2,2,0,5,4,2,2,0,6,4,2,8,,,Turf Moor,Burnley
2017/18,8,10,Liverpool,8,8,3,4,1,13,12,1,13,4,2,2,0,6,1,5,8,4,1,2,1,7,11,-4,5,,,Anfield,Liverpool
2017/18,8,23,Newcastle United,9,8,3,2,3,9,8,1,11,4,2,1,1,6,4,2,7,4,1,1,2,3,4,-1,4,,,St. James' Park,Newcastle
2017/18,8,36,West Bromwich Albion,10,8,2,4,2,7,9,-2,10,4,1,3,0,4,3,1,6,4,1,1,2,3,6,-3,4,,,The Hawthorns,West Bromwich
2017/18,8,20,Southampton,11,8,2,3,3,7,9,-2,9,5,1,2,2,5,7,-2,5,3,1,1,1,2,2,0,4,,,St. Mary's Stadium,Southampton
2017/18,8,159,Huddersfield Town,12,8,2,3,3,5,9,-4,9,4,1,2,1,2,5,-3,5,4,1,1,2,3,4,-1,4,,,John Smith's Stadium,Huddersfield
2017/18,8,45,Swansea City,13,8,2,2,4,5,8,-3,8,4,1,0,3,3,7,-4,3,4,1,2,1,2,1,1,5,,,Liberty Stadium,Swansea
2017/18,8,131,Brighton & Hove Albion,14,8,2,2,4,6,10,-4,8,4,2,1,1,5,4,1,7,4,0,1,3,1,6,-5,1,,,AMEX Stadium,Falmer
2017/18,8,25,West Ham United,15,8,2,2,4,8,14,-6,8,3,2,0,1,5,3,2,6,5,0,2,3,3,11,-8,2,,,London Stadium,London
2017/18,8,7,Everton,16,8,2,2,4,5,13,-8,8,4,2,0,2,3,5,-2,6,4,0,2,2,2,8,-6,2,,,Goodison Park,Liverpool
2017/18,8,42,Stoke City,17,8,2,2,4,9,18,-9,8,4,2,1,1,5,7,-2,7,4,0,1,3,4,11,-7,1,,,Britannia Stadium,Stoke
2017/18,8,26,Leicester City,18,8,1,3,4,10,13,-3,6,4,1,1,2,6,6,0,4,4,0,2,2,4,7,-3,2,R,EN_CH,King Power Stadium,Leicester
2017/18,8,127,Bournemouth,19,8,1,1,6,4,12,-8,4,4,1,1,2,3,5,-2,4,4,0,0,4,1,7,-6,0,R,EN_CH,Vitality Stadium,Bournemouth
2017/18,8,6,Crystal Palace,20,8,1,0,7,2,18,-16,3,4,1,0,3,2,7,-5,3,4,0,0,4,0,11,-11,0,R,EN_CH,Selhurst Park,London
2017/18,9,11,Manchester City,1,9,8,1,0,32,4,28,25,5,4,1,0,21,3,18,13,4,4,0,0,11,1,10,12,Q,EU_CL,Etihad Stadium,Manchester
