season,match_week,team_id,team_name,position,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,home_played,home_won,home_drawn,home_lost,home_goals_for,home_goals_against,home_goal_difference,home_points,away_played,away_won,away_drawn,away_lost,away_goals_for,away_goals_against,away_goal_difference,away_points,annotation_types,annotation_destinations,stadium_name,stadium_city
2017/18,1,12,Manchester United,1,1,1,0,0,4,0,4,3,1,1,0,0,4,0,4,3,0,0,0,0,0,0,0,0,Q,EU_CL,Old Trafford,Manchester
2017/18,1,159,Huddersfield Town,2,1,1,0,0,3,0,3,3,0,0,0,0,0,0,0,0,1,1,0,0,3,0,3,3,Q,EU_CL,John Smith's Stadium,Huddersfield
2017/18,1,11,Manchester City,3,1,1,0,0,2,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,3,Q,EU_CL,Etihad Stadium,Manchester
2017/18,1,21,Tottenham Hotspur,4,1,1,0,0,2,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,3,Q,EU_CL,Wembley Stadium,London
2017/18,1,1,Arsenal,5,1,1,0,0,4,3,1,3,1,1,0,0,4,3,1,3,0,0,0,0,0,0,0,0,Q,EU_EL,Emirates Stadium,London
2017/18,1,43,Burnley,6,1,1,0,0,3,2,1,3,0,0,0,0,0,0,0,0,1,1,0,0,3,2,1,3,,,Turf Moor,Burnley
2017/18,1,7,Everton,7,1,1,0,0,1,0,1,3,1,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,,,Goodison Park,Liverpool
2017/18,1,36,West Bromwich Albion,8,1,1,0,0,1,0,1,3,1,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,,,The Hawthorns,West Bromwich
2017/18,1,10,Liverpool,9,1,0,1,0,3,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,3,0,1,,,Anfield,Liverpool
2017/18,1,33,Watford,10,1,0,1,0,3,3,0,1,1,0,1,0,3,3,0,1,0,0,0,0,0,0,0,0,,,Vicarage Road,Watford
2017/18,1,20,Southampton,11,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,St. Mary's Stadium,Southampton
2017/18,1,45,Swansea City,12,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,,,Liberty Stadium,Swansea
2017/18,1,26,Leicester City,13,1,0,0,1,3,4,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4,-1,0,,,King Power Stadium,Leicester
2017/18,1,4,Chelsea,14,1,0,0,1,2,3,-1,0,1,0,0,1,2,3,-1,0,0,0,0,0,0,0,0,0,,,Stamford Bridge,London
2017/18,1,127,Bournemouth,15,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-1,0,,,Vitality Stadium,Bournemouth
2017/18,1,42,Stoke City,16,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-1,0,,,Britannia Stadium,Stoke
2017/18,1,131,Brighton & Hove Albion,17,1,0,0,1,0,2,-2,0,1,0,0,1,0,2,-2,0,0,0,0,0,0,0,0,0,,,AMEX Stadium,Falmer
2017/18,1,23,Newcastle United,18,1,0,0,1,0,2,-2,0,1,0,0,1,0,2,-2,0,0,0,0,0,0,0,0,0,R,EN_CH,St. James' Park,Newcastle
2017/18,1,6,Crystal Palace,19,1,0,0,1,0,3,-3,0,1,0,0,1,0,3,-3,0,0,0,0,0,0,0,0,0,R,EN_CH,Selhurst Park,London
2017/18,1,25,West Ham United,20,1,0,0,1,0,4,-4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,-4,0,R,EN_CH,London Stadium,London
2017/18,2,12,Manchester United,1,2,2,0,0,8,0,8,6,1,1,0,0,4,0,4,3,1,1,0,0,4,0,4,3,Q,EU_CL,Old Trafford,Manchester
2017/18,2,159,Huddersfield Town,2,2,2,0,0,4,0,4,6,1,1,0,0,1,0,1,3,1,1,0,0,3,0,3,3,Q,EU_CL,John Smith's Stadium,Huddersfield
2017/18,2,36,West Bromwich Albion,3,2,2,0,0,2,0,2,6,1,1,0,0,1,0,1,3,1,1,0,0,1,0,1,3,Q,EU_CL,The Hawthorns,West Bromwich
2017/18,2,33,Watford,4,2,1,1,0,5,3,2,4,1,0,1,0,3,3,0,1,1,1,0,0,2,0,2,3,Q,EU_CL,Vicarage Road,Watford
2017/18,2,11,Manchester City,5,2,1,1,0,3,1,2,4,1,0,1,0,1,1,0,1,1,1,0,0,2,0,2,3,Q,EU_EL,Etihad Stadium,Manchester
2017/18,2,10,Liverpool,6,2,1,1,0,4,3,1,4,1,1,0,0,1,0,1,3,1,0,1,0,3,3,0,1,,,Anfield,Liverpool
2017/18,2,20,Southampton,7,2,1,1,0,3,2,1,4,2,1,1,0,3,2,1,4,0,0,0,0,0,0,0,0,,,St. Mary's Stadium,Southampton
